MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP3_v9_130115,MRT,0-4,million,0.13803357540408173,0.13452301518433166,0.12551331044213374,0.10427749188465651,0.08043461257578143
IIASA-WiC POP,SSP3_v9_130115,MTQ,0-4,million,0.06556236710274178,0.06668013649237187,0.06928364002177159,0.06960589850029583,0.07178007752202117
IIASA-WiC POP,SSP3_v9_130115,MUS,0-4,million,0.060250358199397835,0.06402434798778613,0.0665355363670526,0.06445922434417126,0.07313098801883434
IIASA-WiC POP,SSP3_v9_130115,MWI,0-4,million,0.1843183472585613,0.18576879872023094,0.18148210696988926,0.1564909748024629,0.09858001225782463
IIASA-WiC POP,SSP3_v9_130115,MYS,0-4,million,0.09718516359198656,0.096653425491265,0.09347805124281475,0.08104912563722995,0.067881972577696
IIASA-WiC POP,SSP3_v9_130115,MYT,0-4,million,0.14036094605299138,0.13095394398712723,0.12933528921108037,0.10069874831268037,0.07464261522736153
IIASA-WiC POP,SSP3_v9_130115,NAM,0-4,million,0.11719327218786417,0.1169908519468787,0.11096634615312943,0.09619667385881459,0.0840336371447058
IIASA-WiC POP,SSP3_v9_130115,NCL,0-4,million,0.08220867026118843,0.08142175233847557,0.07691401520593191,0.07248891249729182,0.07025944495896462
IIASA-WiC POP,SSP3_v9_130115,NER,0-4,million,0.1997664612878843,0.20207500316558208,0.1995452044320301,0.17403318636720516,0.09763933597682124
IIASA-WiC POP,SSP3_v9_130115,NGA,0-4,million,0.17045591277439298,0.17204056440698565,0.17257668169260218,0.15375317685609613,0.09584048637970985
IIASA-WiC POP,SSP3_v9_130115,NIC,0-4,million,0.11494594485497028,0.11349327668543797,0.10369263613250779,0.08814012522565116,0.07151047074044584
IIASA-WiC POP,SSP3_v9_130115,NLD,0-4,million,0.05147568762701426,0.049017939298615594,0.044834096018189856,0.03948073278846727,0.032930657743527415
IIASA-WiC POP,SSP3_v9_130115,NOR,0-4,million,0.05792886565877416,0.055670178570062304,0.0487946480175819,0.04288903951969184,0.033493783367710396
IIASA-WiC POP,SSP3_v9_130115,NPL,0-4,million,0.12142983298907975,0.12382588705307473,0.11141101623553991,0.09610908411446441,0.07637452972385342
IIASA-WiC POP,SSP3_v9_130115,NZL,0-4,million,0.06642303957983413,0.06172967168039829,0.05006395095692975,0.04322801879200319,0.03280108469120512
