MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,NPL,0-4,million,3.98391847973307,4.427509308662301,4.598201482172587,4.819085616195746,4.002557644473796
IIASA-WiC POP,SSP2_v9_130115,NZL,0-4,million,0.3063045626243844,0.29948334552672956,0.2643160903772417,0.2567568752723074,0.2135110556342568
IIASA-WiC POP,SSP2_v9_130115,OMN,0-4,million,0.2842770576506845,0.31990780051264184,0.34009156890806674,0.3997710059201491,0.44384747346223985
IIASA-WiC POP,SSP2_v9_130115,PAK,0-4,million,24.105388205537565,26.61251776532266,28.134248499839178,30.63026053406878,26.12748549558701
IIASA-WiC POP,SSP2_v9_130115,PAN,0-4,million,0.34551548433347706,0.36524043999339323,0.39269788004363865,0.4007798420906804,0.3388585242151169
IIASA-WiC POP,SSP2_v9_130115,PER,0-4,million,2.9445927069745057,3.0028513161660824,2.990938339394893,2.6634876813659245,1.9407360816779105
IIASA-WiC POP,SSP2_v9_130115,PHL,0-4,million,11.932133733504152,12.868550944401917,13.87630801249783,14.179818900511044,11.359201485808228
IIASA-WiC POP,SSP2_v9_130115,PNG,0-4,million,0.9468003271032331,1.0069862131318128,1.0985235923896812,1.0639723162551264,0.8895207302765081
IIASA-WiC POP,SSP2_v9_130115,POL,0-4,million,1.9479099927619397,1.8083033183728618,1.3596116319065072,1.1757617666374416,0.7362548045109557
IIASA-WiC POP,SSP2_v9_130115,PRI,0-4,million,0.24657063878301871,0.24261673673253947,0.21862777330327043,0.17397326449116102,0.10676784201857742
IIASA-WiC POP,SSP2_v9_130115,PRK,0-4,million,1.7052461094444507,1.7637253694763517,1.666959645454341,1.4766694133708287,1.1089179821229367
IIASA-WiC POP,SSP2_v9_130115,PRT,0-4,million,0.46476267029108703,0.42849616561484666,0.3778947619053095,0.36882960596961445,0.332000956232379
IIASA-WiC POP,SSP2_v9_130115,PRY,0-4,million,0.7709565996267442,0.8230835838495615,0.8541663706349278,0.8473087737409563,0.7176367626765188
IIASA-WiC POP,SSP2_v9_130115,PSE,0-4,million,0.6671748500842896,0.705657365339581,0.7207594796269192,0.6446977635528148,0.46116334492223426
IIASA-WiC POP,SSP2_v9_130115,PYF,0-4,million,0.024441864038456308,0.026160123700321274,0.02689018500905312,0.029184131272595077,0.029134312239936556
IIASA-WiC POP,SSP2_v9_130115,QAT,0-4,million,0.13220635841743883,0.1449255039101592,0.1413905379721052,0.19505505982969784,0.194010896103098
IIASA-WiC POP,SSP2_v9_130115,REU,0-4,million,0.07705968235336953,0.0804877106793694,0.0864818131952554,0.09406474787123655,0.10068648725693069
IIASA-WiC POP,SSP2_v9_130115,ROU,0-4,million,1.0819195143582951,1.0870940375605291,0.9958460735728897,0.954399474980579,0.6956691715961495
IIASA-WiC POP,SSP2_v9_130115,RUS,0-4,million,8.829466268994254,8.373129754907255,7.163954858239646,8.858624529785136,8.395736377718034
IIASA-WiC POP,SSP2_v9_130115,RWA,0-4,million,2.0920885557279245,2.2818606841507165,2.5204710520461906,2.9732069575628546,2.7353388503196068
IIASA-WiC POP,SSP2_v9_130115,SAU,0-4,million,3.182034255335396,3.451853098519973,3.8465349715025448,4.634006362603028,4.435507510555309
IIASA-WiC POP,SSP2_v9_130115,SDN,0-4,million,6.847168018927822,7.458928444628639,8.24823916753827,8.606465720627801,7.666876473902871
IIASA-WiC POP,SSP2_v9_130115,SEN,0-4,million,2.3369638929849175,2.5691258646734023,2.844940791666492,3.06256281061941,2.797589929343968
IIASA-WiC POP,SSP2_v9_130115,SGP,0-4,million,0.23249076151283196,0.26222788629038585,0.2949763384782012,0.2800586700550862,0.2680943325753796
IIASA-WiC POP,SSP2_v9_130115,SLB,0-4,million,0.08168147231816845,0.08640058773869058,0.09392941207404602,0.09613245591941195,0.08583726804911418
IIASA-WiC POP,SSP2_v9_130115,SLE,0-4,million,1.0265683534874117,1.1066347897829367,1.2196994221119497,1.2767540063770424,1.1402219873635655
IIASA-WiC POP,SSP2_v9_130115,SLV,0-4,million,0.6388985420488535,0.6598049526286394,0.6111150727569189,0.5123831978756517,0.35016129621876513
IIASA-WiC POP,SSP2_v9_130115,SOM,0-4,million,1.8426825260380866,1.9715740268715765,2.276966822531927,2.206760654019782,1.6722881510355192
IIASA-WiC POP,SSP2_v9_130115,SRB,0-4,million,0.502332399246135,0.5160200783973824,0.5371487905242603,0.5345861604341288,0.47278831748867484
IIASA-WiC POP,SSP2_v9_130115,STP,0-4,million,0.023352161243107718,0.023671698506525434,0.023753218208833228,0.020663680877576616,0.015473712242219585
IIASA-WiC POP,SSP2_v9_130115,SUR,0-4,million,0.04897811547432567,0.05145482361501442,0.055036686600254556,0.054191339999271226,0.04385187559446526
IIASA-WiC POP,SSP2_v9_130115,SVK,0-4,million,0.286536979429936,0.2656950511905544,0.2060411956005503,0.18507226926460638,0.1271646355837543
IIASA-WiC POP,SSP2_v9_130115,SVN,0-4,million,0.10421743490653015,0.0959397065210545,0.07624447684678605,0.08003131394691089,0.06351409976239752
