scenario,GCAMRegion,GHG,2020,2030,2050,2100
Efficiency,Europe_Eastern,OC,0.17641610700000002,0.197531112,0.108482684,0.050725307
Efficiency,Europe_Eastern,PM,0.302246161,0.329375449,0.187472519,0.088976447
Efficiency,Europe_Eastern,SO2,0.858929695,0.531978902,0.289045101,0.076452592
Efficiency,Europe_Non_EU,BC,0.068915007,0.048578661,0.032096039,0.031615805000000004
Efficiency,Europe_Non_EU,CH4,4.42456445,4.191758372,3.888190446,4.101885608
Efficiency,Europe_Non_EU,CO,3.096600164,2.168915046,1.058628797,0.867934991
Efficiency,Europe_Non_EU,NH3,0.926907907,1.026225245,1.104307168,1.503134545
Efficiency,Europe_Non_EU,NMVOC,0.979391787,0.819862132,0.660828977,0.807471867
Efficiency,Europe_Non_EU,NOx,1.113283661,0.831695824,0.654794838,0.669825557
Efficiency,Europe_Non_EU,OC,0.14686364700000001,0.115006701,0.049536437999999995,0.033485986
Efficiency,Europe_Non_EU,PM,0.285821523,0.217896111,0.106143462,0.082663106
Efficiency,Europe_Non_EU,SO2,2.097810687,1.168477551,0.486312931,0.11300244
Efficiency,European Free Trade Association,BC,0.005258741,0.011909813,0.0029719,0.00102106
Efficiency,European Free Trade Association,CH4,0.436318165,0.510059603,0.43946632999999996,0.466336497
Efficiency,European Free Trade Association,CO,0.735432755,2.03773221,0.568179434,0.750286313
Efficiency,European Free Trade Association,NH3,0.102265501,0.12762351,0.121095815,0.12981941400000002
Efficiency,European Free Trade Association,NMVOC,0.262854596,0.484421909,0.178276292,0.15916068
Efficiency,European Free Trade Association,NOx,0.22397595,0.190012115,0.105306522,0.09803144100000001
Efficiency,European Free Trade Association,OC,0.02038711,0.085943365,0.012346717,0.0017604
Efficiency,European Free Trade Association,PM,0.034939189999999995,0.135998961,0.020924143,0.003640184
Efficiency,European Free Trade Association,SO2,0.032690544,0.039281881,0.021495592,0.01462995
Efficiency,India,BC,0.9811812280000001,1.016794026,0.68315145,0.196840091
Efficiency,India,CH4,36.949812625999996,40.190444616,48.323040351,45.392696994
Efficiency,India,CO,55.817040705000004,51.398375399,34.674874118,16.371830696
Efficiency,India,NH3,10.855392244,12.83190411,15.927992475,16.882794016000002
Efficiency,India,NMVOC,12.843927494,14.915122836,14.619670152,13.791312020000001
Efficiency,India,NOx,10.980669226,10.838358331,9.173623649,5.4126220389999995
Efficiency,India,OC,2.787108818,3.121234528,2.105243965,0.437159688
Efficiency,India,PM,5.064864963,5.581838804,3.761965464,0.841662457
Efficiency,India,SO2,10.717479358,10.722944726,9.628607029,6.1122469100000005
Efficiency,Indonesia,BC,0.301226906,0.27339125200000003,0.22060641,0.097339946
Efficiency,Indonesia,CH4,14.169205572000001,12.327866836,11.548423223,6.3404716610000005
Efficiency,Indonesia,CO,30.291815655999997,27.582617869,21.370217619,11.547368815
Efficiency,Indonesia,NH3,2.1972790300000002,2.7124856569999998,3.6452690719999996,3.851568454
Efficiency,Indonesia,NMVOC,9.891719634,9.979646895,9.298920685,5.813534628
Efficiency,Indonesia,NOx,4.566076008,4.147462098,3.410224931,2.143830337
Efficiency,Indonesia,OC,1.031071782,0.967567404,0.751873574,0.278236309
Efficiency,Indonesia,PM,1.805782247,1.684351765,1.31784626,0.5049523850000001
Efficiency,Indonesia,SO2,2.347449717,2.055657842,1.315935145,0.426160396
Efficiency,Japan,BC,0.038249884,0.034426384,0.026024954,0.007659919
Efficiency,Japan,CH4,1.580843287,1.3336565329999999,1.17109835,2.369572444
Efficiency,Japan,CO,5.488241963,4.565425059,3.303034482,1.275568192
Efficiency,Japan,NH3,0.466051569,0.501339378,0.564596725,1.738217148
Efficiency,Japan,NMVOC,0.721196939,0.723817302,0.710413607,0.681914525
Efficiency,Japan,NOx,1.7431482379999998,1.203082151,0.732769244,0.433686744
Efficiency,Japan,OC,0.058573554,0.105795644,0.095224926,0.015098036
Efficiency,Japan,PM,0.125834635,0.189156794,0.164799541,0.030015559
Efficiency,Japan,SO2,0.43382565500000003,0.265621966,0.162064056,0.077547095
Efficiency,Mexico,BC,0.100290195,0.106732046,0.074404789,0.035567724
Efficiency,Mexico,CH4,6.706298421,6.721857632,6.77872225,5.7643002999999995
Efficiency,Mexico,CO,12.338059633,10.577144292,7.534548247,5.091801847
Efficiency,Mexico,NH3,0.945098158,1.120422324,1.432399231,1.649332744
Efficiency,Mexico,NMVOC,3.1249055660000002,2.864871919,2.31105128,1.9121301130000001
Efficiency,Mexico,NOx,2.312239038,2.072315638,1.705157876,1.27609635
Efficiency,Mexico,OC,0.339174248,0.423537434,0.294253588,0.121653835
Efficiency,Mexico,PM,0.5953383879999999,0.723063781,0.502627898,0.21308879
Efficiency,Mexico,SO2,0.9571461450000001,0.683234673,0.41850570200000003,0.164000443
Efficiency,Middle East,BC,0.31143895,0.252184002,0.16766662100000002,0.115361154
Efficiency,Middle East,CH4,22.984174312,22.23959839,20.124561114,12.467795066999999
Efficiency,Middle East,CO,16.007125736,11.482577094,6.962019446,5.435671931
Efficiency,Middle East,NH3,1.146483937,1.398525231,2.0224726740000003,2.578639977
Efficiency,Middle East,NMVOC,9.393771126,7.603166628,5.94124446,4.711413856
Efficiency,Middle East,NOx,9.471271297,6.462811912,3.5133075419999997,2.00415318
Efficiency,Middle East,OC,0.173092133,0.141453981,0.110505772,0.091639876
Efficiency,Middle East,PM,0.590104611,0.47968156,0.342456371,0.25794251
Efficiency,Middle East,SO2,8.630448365,6.063174846,3.347171244,1.072950433
Efficiency,Pakistan,BC,0.149384394,0.15582775599999998,0.12727069500000002,0.038462676
Efficiency,Pakistan,CH4,7.647912249,8.822856949,12.385027542,16.058000674
Efficiency,Pakistan,CO,11.203023156,11.354277694999999,9.158434875000001,4.529067953
Efficiency,Pakistan,NH3,2.024205888,2.432492774,3.483529018,4.59387257
Efficiency,Pakistan,NMVOC,2.898790839,3.158029737,3.76730741,3.777397127
Efficiency,Pakistan,NOx,1.542555323,1.566772965,1.863915217,1.872355488
Efficiency,Pakistan,OC,0.47059800300000004,0.5153342049999999,0.454494035,0.135706713
Efficiency,Pakistan,PM,0.837276967,0.908338736,0.789923575,0.236372052
Efficiency,Pakistan,SO2,1.345334326,1.275101585,1.6125469989999999,1.3664588409999998
Efficiency,Russia,BC,0.28623987300000003,0.272087197,0.201044403,0.156889122
Efficiency,Russia,CH4,25.005059982000002,21.459437607,19.928257742,12.424443707
Efficiency,Russia,CO,46.106484792,44.414921822,36.642137078,34.326872916999996
Efficiency,Russia,NH3,2.009392643,2.031440194,1.962427817,1.8464632429999999
Efficiency,Russia,NMVOC,11.944743515999999,11.222594413,9.407445594,8.979449487
Efficiency,Russia,NOx,5.755121497,3.997452691,2.466324464,1.369034882
Efficiency,Russia,OC,2.606561574,2.8681906859999997,2.441433633,2.239950488
Efficiency,Russia,PM,4.0422469119999995,4.400808598,3.712398938,3.375707235
Efficiency,Russia,SO2,6.008846397,3.718234228,2.294439109,1.096393902
Efficiency,South Africa,BC,0.096839501,0.06866064300000001,0.049764864,0.029316566999999998
Efficiency,South Africa,CH4,2.888579015,2.396966212,2.404723831,1.833048889
Efficiency,South Africa,CO,7.44750286,6.120946964,5.033836578,2.707782241
Efficiency,South Africa,NH3,0.365974717,0.418192926,0.47866350199999996,0.482225921
Efficiency,South Africa,NMVOC,2.040992949,1.794453762,1.485317813,1.199789768
Efficiency,South Africa,NOx,2.07387054,1.5610203,1.076547128,0.436266547
Efficiency,South Africa,OC,0.200974314,0.169118729,0.150111205,0.095550535
Efficiency,South Africa,PM,0.39391672,0.317366492,0.269400375,0.168885918
Efficiency,South Africa,SO2,2.7968770629999997,1.904555802,1.122177399,0.19470852800000002
Efficiency,South America_Northern,BC,0.014099661,0.014907626,0.020537621,0.01444523
Efficiency,South America_Northern,CH4,10.236062625,11.768093037,13.094627237,6.948576029
Efficiency,South America_Northern,CO,3.7633074420000003,3.644180503,3.355090368,2.994168687
Efficiency,South America_Northern,NH3,0.258142659,0.298620684,0.402460469,0.534253116
Efficiency,South America_Northern,NMVOC,1.004767405,1.123579216,1.415022119,1.033104593
Efficiency,South America_Northern,NOx,0.306664014,0.297780104,0.392534247,0.29371912
Efficiency,South America_Northern,OC,0.075852097,0.085302541,0.096871514,0.078858956
