region,Categories,GHG,2020,2030,2050,2100
Africa_Western,agriculture,NMVOC,3.288786751,3.574065876,3.199733262,2.572793108
Africa_Western,agriculture,NOx,0.483051217,0.531314751,0.519277784,0.512905281
Africa_Western,agriculture,OC,0.090243319,0.098729185,0.088485606,0.061188261
Africa_Western,agriculture,SO2,0.048491048,0.051985818,0.046081011,0.035681523
Africa_Western,industry,BC,0.021783344,0.037237457,0.086878335,0.046784425
Africa_Western,industry,CH4,0.023568957,0.050889439,0.146053021,0.238638414
Africa_Western,industry,CO,0.955559641,1.722579888,3.927782081,1.505553687
Africa_Western,industry,NH3,0.052451236,0.095376404,0.2232146,0.104339804
Africa_Western,industry,NMVOC,1.49887191,2.467510236,5.00254633,8.876066175
Africa_Western,industry,NOx,0.192026215,0.35364504,0.864011494,0.61343894
Africa_Western,industry,OC,0.097996995,0.176527949,0.400635483,0.120176998
Africa_Western,industry,SO2,0.135152664,0.197708105,0.473335762,0.325063747
Africa_Western,power,BC,0.005655999,0.009865376,0.008493506,5.18E-04
Africa_Western,power,CH4,5.728668789,7.135438569,8.4136496,3.192264826
Africa_Western,power,CO,0.251809104,0.338166102,0.464149759,1.006397871
Africa_Western,power,NH3,9.16E-04,0.002414418,0.003305734,6.23E-04
Africa_Western,power,NMVOC,0.967721093,1.172570777,1.041802575,0.498900749
Africa_Western,power,NOx,0.166180842,0.168466477,0.171088836,0.460469019
Africa_Western,power,OC,0.010668838,0.031912812,0.029669904,0.001342395
Africa_Western,power,SO2,0.064121269,0.045726561,0.043192029,0.091791437
Africa_Western,residential commercial,BC,0.387204581,0.437730041,0.35450104,0.062900427
Africa_Western,residential commercial,CH4,5.844321031,6.567093612,7.951050091,5.840012265
Africa_Western,residential commercial,CO,30.85868388,33.83306905,27.72116615,3.594832563
Africa_Western,residential commercial,NH3,1.84225307,2.254297202,2.923953208,2.925083571
Africa_Western,residential commercial,NMVOC,4.91214672,5.862227657,6.641590308,3.159083899
Africa_Western,residential commercial,NOx,0.481912902,0.55163502,0.546198734,0.233685872
Africa_Western,residential commercial,OC,1.394607088,1.576221387,1.28565393,0.283606803
Africa_Western,residential commercial,SO2,0.074867645,0.090471316,0.100748388,0.051017334
Africa_Western,transportation,BC,0.033971736,0.032633561,0.037148961,0.077809228
Africa_Western,transportation,CH4,0.01349559,0.012944184,0.019957639,0.044385186
Africa_Western,transportation,CO,4.887511303,4.603599413,6.916389781,15.21302188
Africa_Western,transportation,NH3,8.02E-04,9.42E-04,0.002053699,0.007934784
Africa_Western,transportation,NMVOC,0.894608384,0.842501962,1.274587182,2.804276744
Africa_Western,transportation,NOx,0.733440416,0.670112832,0.760617636,1.443036926
Africa_Western,transportation,OC,0.012786228,0.012336213,0.014409384,0.030110122
Africa_Western,transportation,SO2,0.119369166,0.113327475,0.125619441,0.251376515
Africa_Western,wildfire,BC,0.39191063,0.362961263,0.360677707,0.360850543
Africa_Western,wildfire,CH4,2.187722604,1.911988139,1.891211991,1.892032377
Africa_Western,wildfire,CO,66.98353397,61.81845389,61.41287888,61.44214755
Africa_Western,wildfire,NH3,0.584760035,0.512383881,0.506923799,0.50714489
Africa_Western,wildfire,NMVOC,11.74971502,10.68760758,10.60548513,10.61042275
Africa_Western,wildfire,NOx,3.964803506,3.814683352,3.801622705,3.803551301
Africa_Western,wildfire,OC,2.833424436,2.574069841,2.554039313,2.555225783
Africa_Western,wildfire,SO2,0.492860269,0.469827266,0.467896318,0.468130504
Argentina,agriculture,BC,0.022454731,0.015752688,0.008309837,0.005237759
Argentina,agriculture,CH4,3.362979577,3.69885764,4.126041783,4.050500925
Argentina,agriculture,CO,0.799583165,0.5948711,0.343982644,0.25834833
Argentina,agriculture,NH3,0.483092283,0.542859515,0.598225337,0.570864592
Argentina,agriculture,NMVOC,0.212314243,0.165845659,0.111188747,0.092124931
Argentina,agriculture,NOx,0.27375922,0.200917189,0.129078781,0.078221937
Argentina,agriculture,OC,0.061992602,0.046964733,0.028123976,0.02262801
Argentina,agriculture,SO2,0.009339072,0.008084064,0.005810723,0.00222954
Argentina,industry,BC,0.002159891,0.002803271,0.003398748,0.001049608
Argentina,industry,CH4,0.015742786,0.017970969,0.014226582,0.004381971
Argentina,industry,CO,0.509252502,0.511896422,0.458655367,0.141902586
Argentina,industry,NH3,0.002095753,0.002621172,0.003373637,0.003662142
Argentina,industry,NMVOC,0.157113402,0.135396864,0.110754262,0.135425953
Argentina,industry,NOx,0.117269421,0.108442286,0.077425448,0.017639294
Argentina,industry,OC,0.007872578,0.010453173,0.012822691,0.0023543
Argentina,industry,SO2,0.058857249,0.049543795,0.037843922,0.019972968
Argentina,power,BC,0.001012782,7.30E-04,4.32E-04,2.13E-04
Argentina,power,CH4,1.064789303,1.056637891,1.245169693,0.896531007
Argentina,power,CO,0.023486609,0.020573971,0.01899757,0.035499458
Argentina,power,NH3,0.001293116,0.001189063,5.39E-04,2.47E-05
Argentina,power,NMVOC,0.115383949,0.127573985,0.164938033,0.21950995
Argentina,power,NOx,0.098925197,0.050720817,0.022755138,0.047110143
Argentina,power,OC,5.88E-04,5.25E-04,1.44E-04,6.21E-05
Argentina,power,SO2,0.066360313,0.034644445,0.02208031,0.018366122
Argentina,residential commercial,BC,0.008302872,0.005974499,0.002670242,0.00179392
Argentina,residential commercial,CH4,0.538435645,0.518106135,0.417601674,0.180699993
Argentina,residential commercial,CO,0.2886649,0.206626793,0.08017491,0.030845294
Argentina,residential commercial,NH3,0.032838378,0.034459154,0.034164049,0.03040113
Argentina,residential commercial,NMVOC,0.037053374,0.0271645,0.015142541,0.012592038
