GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),EM (kt),CUM_REDUCTIONS (kt)
Africa_Northern,SO2,Power,0.754,-3.65275,0,-40.5772291
Africa_Northern,SO2,Power,1.007,-9.7652435,0,-50.3424726
Africa_Northern,SO2,Power,1.157,-18.7851677,0,-69.1276403
Africa_Northern,SO2,Power,12.267,-2.9042719,0,-72.0319122
Africa_Northern,SO2,Power,,0,79.1953931,-72.0319122
Africa_Northern,SO2,Residential/Commercial,0.653,-0.0044188,0,-0.0044188
Africa_Northern,SO2,Residential/Commercial,8.857,-0.2855299,0,-0.2899487
Africa_Northern,SO2,Residential/Commercial,,0,3.3438051,-0.2899487
Africa_Northern,SO2,Transport,13.232,-4.1865745,0,-4.1865745
Africa_Northern,SO2,Transport,,0,15.7055213,-4.1865745
Africa_Northern,SO2,Waste,-1114.931,-1.0677167,0,-1.0677167
Africa_Northern,SO2,Waste,0,-0.0135927,0,-1.0813094
Africa_Northern,SO2,Waste,,0,2.1439243,-1.0813094
Africa_Northern,VOC,ALL,,0,2611.618053,0
Africa_Northern,VOC,Agriculture,0.09,-56.5922415,0,-56.5922415
Africa_Northern,VOC,Agriculture,,0,396.2050017,-56.5922415
Africa_Northern,VOC,Industry,-3.221,-260.5184161,0,-260.5184161
Africa_Northern,VOC,Industry,0.266,-4.7299311,0,-265.2483472
Africa_Northern,VOC,Industry,0.49,-3.6408691,0,-268.8892163
Africa_Northern,VOC,Industry,2.185,-19.9420747,0,-288.831291
Africa_Northern,VOC,Industry,10.067,-11.2269996,0,-300.0582906
Africa_Northern,VOC,Industry,16.805,-0.3067575,0,-300.3650481
Africa_Northern,VOC,Industry,,0,1028.098459,-300.3650481
Africa_Northern,VOC,Power,,0,3.402439,0
Africa_Northern,VOC,Residential/Commercial,0,-0.4896143,0,-0.4896143
Africa_Northern,VOC,Residential/Commercial,0.236,-0.0417749,0,-0.5313892
Africa_Northern,VOC,Residential/Commercial,4.928,-2.290848,0,-2.8222372
Africa_Northern,VOC,Residential/Commercial,25.328,-1.1283713,0,-3.9506085
Africa_Northern,VOC,Residential/Commercial,36.257,-7.7295303,0,-11.6801388
Africa_Northern,VOC,Residential/Commercial,,0,21.6791624,-11.6801388
Africa_Northern,VOC,Transport,0.014,-54.1743495,0,-54.1743495
Africa_Northern,VOC,Transport,0.162,-82.1021203,0,-136.2764698
Africa_Northern,VOC,Transport,0.244,-110.2600536,0,-246.5365234
Africa_Northern,VOC,Transport,0.251,-115.0317596,0,-361.568283
Africa_Northern,VOC,Transport,0.252,-111.3908903,0,-472.9591733
Africa_Northern,VOC,Transport,3.367,-91.3644983,0,-564.3236716
Africa_Northern,VOC,Transport,7.668,-86.9030478,0,-651.2267194
Africa_Northern,VOC,Transport,64.872,-103.6760647,0,-754.9027841
Africa_Northern,VOC,Transport,,0,1126.750045,-754.9027841
Africa_Northern,VOC,Waste,-207.421,-5.7392101,0,-5.7392101
Africa_Northern,VOC,Waste,0,-0.5110866,0,-6.2502967
Africa_Northern,VOC,Waste,3.183,-1.4343391,0,-7.6846358
Africa_Northern,VOC,Waste,12.093,-15.7733407,0,-23.4579765
Africa_Northern,VOC,Waste,45.239,-3.3194074,0,-26.7773839
Africa_Northern,VOC,Waste,,0,35.4829447,-26.7773839
Africa_Southern,NH3,ALL,,0,1640.032081,0
Africa_Southern,NH3,Agriculture,-0.198,-30.2951736,0,-30.2951736
Africa_Southern,NH3,Agriculture,0.124,-13.6615593,0,-43.9567329
Africa_Southern,NH3,Agriculture,0.152,-43.9772206,0,-87.9339535
Africa_Southern,NH3,Agriculture,0.46,-43.9772205,0,-131.911174
Africa_Southern,NH3,Agriculture,0.589,-43.9772206,0,-175.8883946
Africa_Southern,NH3,Agriculture,0.614,-43.9772205,0,-219.8656151
Africa_Southern,NH3,Agriculture,0.642,-43.9772206,0,-263.8428357
Africa_Southern,NH3,Agriculture,0.75,-43.9772205,0,-307.8200562
Africa_Southern,NH3,Agriculture,0.964,-43.9772206,0,-351.7972768
Africa_Southern,NH3,Agriculture,2.546,-43.9772204,0,-395.7744972
Africa_Southern,NH3,Agriculture,5.099,-40.9203607,0,-436.6948579
Africa_Southern,NH3,Agriculture,,0,1437.680962,-436.6948579
Africa_Southern,NH3,Industry,-301.775,-0.0204879,0,-0.0204879
Africa_Southern,NH3,Industry,25.709,-0.4688012,0,-0.4892891
Africa_Southern,NH3,Industry,,0,1.0597058,-0.4892891
Africa_Southern,NH3,Other,,0,192.939823,0
Africa_Southern,NH3,Power,,0,0.0278318,0
Africa_Southern,NH3,Residential/Commercial,,0,3.6024874,0
Africa_Southern,NH3,Transport,40.873,-2.5871611,0,-2.5871611
Africa_Southern,NH3,Transport,,0,4.7212717,-2.5871611
Africa_Southern,NOX,ALL,,0,1077.1373,0
Africa_Southern,NOX,Agriculture,0.553,-84.9752004,0,-84.9752004
Africa_Southern,NOX,Agriculture,,0,196.7029762,-84.9752004
Africa_Southern,NOX,Industry,-1.467,-4.2135052,0,-4.2135052
Africa_Southern,NOX,Industry,0.059,-8.2242906,0,-12.4377958
Africa_Southern,NOX,Industry,0.381,-22.6511533,0,-35.0889491
Africa_Southern,NOX,Industry,0.496,-15.9836868,0,-51.0726359
Africa_Southern,NOX,Industry,0.802,-20.8029655,0,-71.8756014
Africa_Southern,NOX,Industry,1.02,-6.9434863,0,-78.8190877
Africa_Southern,NOX,Industry,1.967,-6.3387927,0,-85.1578804
Africa_Southern,NOX,Industry,2.663,-14.5966042,0,-99.7544846
