GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),GAINS_EM_2030(kt),GAINS_CUM_REDUCTIONS_2030(kt),REF2020,REF2030,REF2050,REF2100,Efficiency2030,Efficiency2050,Efficiency2100,Equity2030,Equity2050,Equity2100
Argentina,VOC,Industry,NA,0,342.8315833,-129.5445069,157.1134021661,139.41120613137,117.911446165809,155.76999233574898,135.39686384706997,110.754262037491,135.425953025579,137.1701143481,107.60139563875,133.05115392732301
Argentina,VOC,Power,NA,0,1.2431765,0,115.3839486906998,141.1124782234,200.76049849426906,333.28709731522906,127.5739846308199,164.93803261103997,219.50995049634,130.7444254533699,168.12410245152,281.781469860154
Argentina,VOC,Residential/Commercial,NA,0,7.3297416,-1.2600743,37.05337425,25.6865565,14.883255074000001,12.581374297,27.16449985,15.142541398,12.592037797300002,25.56478282,14.902828249999999,12.61880352488
Argentina,VOC,Transport,NA,0,143.5904341,-58.2560784,356.660739896,260.8743962143999,177.24114680319988,236.8047769780999,253.31935959039998,159.48088766319998,116.1280395868,257.02502027039986,159.52099797499991,91.1805969102999
Australia_NZ,NH3,Agriculture,NA,0,918.6860292,-412.2322037,805.2871054935206,1010.4053581574206,1300.635147556785,1732.2245867416593,1021.1801243818497,1256.863623423293,1308.0941029021378,1023.5960068114474,1331.1070693588983,1529.1808026863534
Australia_NZ,NH3,Industry,NA,0,2.7513396,-1.9477703,5.33959961599999,6.858264339999979,9.14128505253998,11.12500817012599,6.72054274639999,7.66201270928999,4.238240317754,6.27125749539999,4.19207021050698,2.70564796109599
Australia_NZ,NH3,Power,NA,0,0.1165061,-0.0012115,0.7525010902,1.0412735673,1.78922723608,3.90517774963,0.9053131159000001,0.39839355616,0.01953089247,0.3963650991199999,0.05281924152,0.0593105389
Australia_NZ,NH3,Residential/Commercial,NA,0,0.4956076,0,19.4266910054,22.337136901,25.3906168309,26.675442430500002,22.928604284299997,23.284728640700003,24.43086379677,22.6433457674,20.6797609204,24.008724499478
Australia_NZ,NH3,Transport,NA,0,1.8158803,-0.0922003,8.283191424590001,6.36571994581999,4.78105533701,5.94803806154,6.22345061284999,4.41134821301,4.19329934435899,6.082491776799,3.569695160731,1.009835594188
Australia_NZ,NOX,Agriculture,NA,0,211.5399102,0,136.3013511499589,139.35456372274194,163.17817358807588,208.53469019771364,140.42222840943495,156.43165224235796,155.05821813462595,139.64576697053693,161.57055480711887,180.68985679537897
Australia_NZ,NOX,Industry,NA,0,214.7506082,-159.6733564,126.5133753,143.55436459999999,175.69212662699988,207.946688674812,136.01823899999988,126.13682757799997,42.83739071579687,119.63169939,48.34937822829999,4.864393337126
Australia_NZ,NOX,Power,NA,0,15.849195,-10.7333442,236.677097099527,136.94307761535802,110.935601817591,58.51871104099998,104.823884224149,50.530850567505986,98.86493660524198,83.81473244293198,88.2221889990048,182.76395662287
Australia_NZ,NOX,Residential/Commercial,NA,0,14.82058,-5.405906,23.545219669999998,18.57298261,15.933545313000002,14.57926096,17.47820484,11.371526567,3.35052917793,14.27416615,1.6132847922,0.471421558487
Australia_NZ,NOX,Transport,NA,0,405.4889685,-160.6729917,679.5118551449999,548.220276452999,444.195082731999,619.1329556909999,534.728952874,411.08373073,430.57290082648893,522.317811369,318.1091580712,60.38999201363001
Australia_NZ,PM,Agriculture,NA,0,34.2788049,-0.8078195,32.38968140461246,26.699094593042048,33.13569951376089,41.47245056491346,26.80808350152746,31.31165648358876,30.74014153238873,26.664657741676542,32.63279396265193,34.403594863478595
Australia_NZ,PM,Industry,NA,0,24.7934831,-8.2830956,10.25985624411,10.84725304469399,13.56071486505998,13.17795210442886,10.92345875371298,13.187716083124,3.91229271099491,10.684206653626001,5.81385229144698,0.2846169299491096
Australia_NZ,PM,Power,NA,0,0.3005117,-0.0741222,2.7126970798213,2.461338865062,2.8861905693829897,2.478619501831,2.5394662527849903,0.5787200236179986,0.0827250764659,1.03195473846399,0.06117186532985,0.08661661059325985
Australia_NZ,PM,Residential/Commercial,NA,0,12.8720803,-9.1365577,17.5108828136,12.3444698311,6.8518593297,2.5991620976200003,14.00069814,4.2871289707399995,1.916544571106,13.976332472960001,1.783801476644,1.81022241956776
Australia_NZ,PM,Transport,NA,0,33.8692017,-13.5768227,28.023598357556992,23.36782597379999,19.66548281530028,27.640218363534668,22.98604041752698,18.08116711578758,18.30250070657512,22.42397299673297,13.72042087919083,2.83187577361007
Australia_NZ,SO2,Agriculture,NA,0,0.7799807,0,17.148298260009998,9.58297140938698,6.42910391072099,6.9753377404539805,9.28982414819299,5.4666467359549795,2.71141377397899,8.73131761193998,3.71998494364299,2.01805669488299
Australia_NZ,SO2,Industry,NA,0,224.3857288,-104.8669549,399.7176497239998,260.845790014,184.7788173524,102.47926569064188,251.472245481,156.37624846239996,66.265176012825,243.224349704,139.31253918190998,70.108181169558
Australia_NZ,SO2,Power,NA,0,13.1999882,-12.2013099,305.17174605267,169.25433496211002,133.24344948134,63.02339683743899,125.16688471603,36.970205062299996,26.204198544795,67.13541474038,61.977634636486904,105.2931876544089
Australia_NZ,SO2,Residential/Commercial,NA,0,4.2566474,-0.7588431,7.389641429,3.9178416719999998,2.4328632707,0.7957038478,3.507083558,1.6357752502,0.24463966380399998,3.136011935,0.50934717656,0.10397220629800001
Australia_NZ,SO2,Transport,NA,0,18.6160188,-2.9060754,56.19142836365,35.11477359872999,20.57579790298999,26.08469881178,33.55331801510999,17.13345831803999,11.65103898035998,31.869173849409986,11.24035568082998,2.143006299254
Australia_NZ,VOC,Agriculture,NA,0,628.9240854,0,130.84563478886793,118.37244779766688,148.5270253704159,190.10653215844897,119.344402940047,141.68804689262183,143.27575088367783,119.42233920784696,150.57323393076697,164.91175210269688
Australia_NZ,VOC,Industry,NA,0,310.2000532,-119.4324641,200.2525850149999,158.98755144199998,204.88379795999995,283.1223676532349,155.64066826,191.8681264219,238.153192360939,150.6419833139999,174.17478695094,272.555899548986
Australia_NZ,VOC,Power,NA,0,1.100169,0,360.3725549241999,418.2833636044,495.61671707389996,811.83416892783,337.41344501323,266.3592241972899,222.40293218534703,373.057597158708,390.01006221345705,424.945134505529
Australia_NZ,VOC,Residential/Commercial,NA,0,21.3029727,-15.4708865,50.703056288,35.400171738000004,25.225092888000002,17.927962895999997,39.175626163000004,19.686904031,16.20895813539,39.08484902799999,14.07319896737,15.929767460916
Australia_NZ,VOC,Transport,NA,0,137.8105058,-51.7479416,250.39914361799998,197.2243921750999,143.80565889390002,196.64861744270002,193.83051537949999,133.3856888232,137.5320217175309,190.15399597219982,106.737492005936,27.372226228739997
Brazil,NH3,Agriculture,NA,0,4853.518361,-1669.001779,2752.552149991179,3134.398493992482,3814.499596149013,4153.303496650648,2775.98500162928,2758.1273105844693,2328.885675891349,2935.041548391189,3061.4845946207975,2633.0773692228513
Brazil,NH3,Industry,NA,0,20.8697871,-9.7952414,139.413063959,167.53755629799988,197.7335737788299,160.205356562861,163.569191373,173.61165661273,53.95114754022288,163.39932055199898,155.9267697669299,38.36010571029499
Brazil,NH3,Power,NA,0,0.4387832,-0.109154,8.7479103951,24.226259505079998,74.22852975842089,250.29628454776997,16.90335199198,9.551006825621,0.19618682619,18.14753655648,6.27129454202099,0.264239810419999
Brazil,NH3,Residential/Commercial,NA,0,1.3737736,0,288.64487713,296.136708569,292.22969763199995,220.27317114299998,301.65939568799996,297.641745849,220.8357239251,299.09711993599996,297.98437717499996,221.2393674852
Brazil,NH3,Transport,NA,0,5.0213283,-0.2089934,15.92716434387999,11.09379555789998,7.010992913633991,7.18424752624299,10.853832820609991,6.189815729788999,3.44171368124898,10.95181878433997,5.9909127273669895,2.587697364944
Brazil,NOX,Agriculture,NA,0,741.5288345,-29.8759034,357.34672281194696,348.9737728588268,375.7723276395598,394.3296807938359,310.6538831270358,267.4004296563817,211.1646669061868,328.75019524671666,297.2185050563038,240.67685393245483
Brazil,NOX,Industry,NA,0,921.510579,-556.6651053,991.3625629000001,1116.2703015799996,1303.36754262,1094.935712658842,1040.6220492799996,977.864087675,331.1043471012048,1076.9150610799998,968.7207015979999,256.06298087378394
Brazil,NOX,Power,NA,0,15.877116,-9.2269254,397.7846636032,599.4605745407,950.6339439287999,1602.1923703189318,404.176410723399,162.2833509899799,156.44169935236198,441.10797674319986,101.9517688510999,106.775830427967
Brazil,NOX,Residential/Commercial,NA,0,28.32112,-6.204878,71.59906925000001,53.015055839999995,32.58146873,13.95064562,53.22105621,32.19232568,12.522881485,53.1581374,31.951580030000002,12.43422541
Brazil,NOX,Transport,NA,0,2017.569522,-1120.929996,2173.319004913,1764.5585987729987,1597.8172715155,2335.6201574351,1710.46407635199,1427.5464540582998,931.0460439599,1733.4226584929988,1375.7601514886,515.1677822280989
Brazil,PM,Agriculture,NA,0,227.0965492,-137.3855411,144.24763406891066,102.2434305818008,60.62740247373534,43.92851359793071,100.39019861852388,43.1030675989961,18.96909616711636,97.79569977965343,40.41711713249846,22.08707006842798
Brazil,PM,Industry,NA,0,350.9849938,-300.7807737,436.08358858526,514.2491170014,574.4787175481309,366.6106216336621,509.57831945383003,516.454371574097,83.4972844757099,500.35387880445006,425.08240445452105,42.26505545880153
Brazil,PM,Power,NA,0,1.4292227,-1.3115903,5.91274156638879,12.5570328764628,24.50845498949419,33.12564087990299,9.75726241613529,2.99630688359826,0.10466044072208974,9.98085829781809,1.24994510151291,0.08750221876494987
Brazil,PM,Residential/Commercial,NA,0,59.8921134,-13.276932,203.36810709270003,133.4646259023,87.31470963050002,48.9468336687,143.26750928599998,92.0714075105,48.83116475677,138.33137577050002,92.187125602,48.95451390302
