GCAMRegion,Country,Country Code,total_cost_2030,total_cost_2050,total_cost_2100,Country Income Classification,2030PM,2050PM,2100PM
Central America and Caribbean,Costa Rica,CRI,5.873350825828716,0,0.21169678588070273,Upper_Middle,0.005288999999999877,-6.659999999998334e-4,0.002806999999999782
Central America and Caribbean,El Salvador,SLV,2.7133493792003556,2.83859610343135,0.09779891574364925,Upper_Middle,0.1026600000000002,0.0176400000000001,0.05162200000000006
Central America and Caribbean,Grenada,GRD,0.10387056998857262,0.10866517872374,0,Upper_Middle,0.002110999999999752,1.2999999999996348e-4,-0.004056000000000282
Africa_Northern,Egypt,EGY,80.08830441530864,170.08284176137713,0,Lower_Middle,0.33449764705882146,0.08121729411764633,-0.0011717058823528248
Central America and Caribbean,Guatemala,GTM,8.058328550475757,8.430296591694846,0.290451278034412,Upper_Middle,0.03638800000000053,0.013596500000000233,0.010488499999999235
Central America and Caribbean,Haiti,HTI,1.7179374149376572,1.797236466989043,0.06192067183985907,Lower_Middle,0.029040000000000177,0.010313000000000017,0.0024679999999999147
Central America and Caribbean,Honduras,HND,2.66560518541257,2.7886480637552284,0.09607804248593549,Lower_Middle,0.07061199999999968,0.011193999999999704,0.020350000000000534
Central America and Caribbean,Jamaica,JAM,1.450258350259643,1.517201482998486,0.05227255114686559,Upper_Middle,0.055835999999999775,0.012866000000000266,0.024597999999999676
Southeast Asia,Federated States of Micronesia,FSM,0.05978780576442612,0,0,Lower_Middle,0.0010449999999999626,-1.6499999999997073e-4,-9.419999999999984e-4
Africa_Western,Gambia,GMB,0.36156932156503274,2.910776395863609,2.4847113771108553,Low,0.03608900000000048,0.11770300000000233,0.02371700000000132
Central America and Caribbean,Nicaragua,NIC,0,0,0.0478461479064138,Lower_Middle,-0.005943999999999949,-0.00540499999999966,0.008945999999999898
Central America and Caribbean,Panama,PAN,6.490757107017938,0,0.233950339122497,High,0.026107000000000102,-0.0017879999999999008,0.005056999999999867
Middle East,Iran,IRN,51.90670315126809,0,0,Upper_Middle,0.3785371290322601,-0.10741051612903263,-0.11874461290322458
Central Asia,Kyrgyzstan,KGZ,0,10.054933256875938,0.3058360265055258,Lower_Middle,-0.07795139999999989,0.14508359999999954,0.1534285999999998
Central America and Caribbean,Trinidad and Tobago,TTO,2.549190451792791,2.6668596896636876,0.09188203484612485,High,0.003275000000000361,0.0036000000000000476,0.00202300000000033
Central Asia,Armenia,ARM,17.279741521989525,0,0,Upper_Middle,0.3357139999999994,-0.2553370000000008,-0.48493099999999956
Central Asia,Azerbaijan,AZE,69.78627570574697,0,0,Upper_Middle,0.24848533333333123,-0.19301100000000027,-0.24350866666666704
Central Asia,Georgia,GEO,22.124552467203568,0,0,Upper_Middle,0.1472844999999996,-0.17422499999999985,-0.33077699999999943
Central Asia,Kazakhstan,KAZ,199.24395386170406,0,0,Upper_Middle,0.07754949999999994,-0.12346561428571423,-0.16222867142857123
Southeast Asia,Lao Peoples Democratic Republic,LAO,2.1508016864846065,0,0,Lower_Middle,0.4190913333333306,-0.02052133333333117,-0.16270866666666528
Central Asia,Mongolia,MNG,15.183692529223242,0,0,Upper_Middle,0.10871741176470628,-0.13932038235294097,-0.1666449117647053
Central Asia,Tajikistan,TJK,9.487133869533348,8.877164663900393,0.2700124106329566,Lower_Middle,0.42168700000000037,1.098141,1.074247999999999
Central Asia,Turkmenistan,TKM,50.07032186581695,0,0,Upper_Middle,0.17713630769230804,-0.005399384615385472,-0.03444499999999984
Central Asia,Uzbekistan,UZB,71.85252641920964,67.23281417888873,2.0449878894217917,Lower_Middle,0.1652496250000013,0.3989718749999991,0.0301948749999994
China,China,CHN,7932.842680943301,0,0,Upper_Middle,0.09553510526315634,-0.6576995157894743,-0.6262095421052614
Colombia,Colombia,COL,15.067909180926993,0,0,Upper_Middle,0.057083894736841945,-0.013609157894736601,-0.027623263157894318
EU-12,Bulgaria,BGR,0,0,0,High,-0.180128250000001,-0.7499854999999993,-0.7057567499999999
EU-12,Cyprus,CYP,0.4798879733735526,0,0,High,0.302677000000001,-0.23833199999999977,-0.4150129999999992
