"","Units","scenario","region","year","value"
"234","MTC","cost_20constraint","China",2060,3161.9748107108
"235","MTC","cost_20constraint","China",2065,2988.5693281976
"236","MTC","cost_20constraint","China",2070,2828.78009313953
"237","MTC","cost_20constraint","China",2075,2649.34086596343
"238","MTC","cost_20constraint","China",2080,2370.58278638728
"239","MTC","cost_20constraint","China",2085,2144.57699573326
"240","MTC","cost_20constraint","China",2090,1961.94882937818
"241","MTC","cost_20constraint","China",2095,1822.30685780372
"242","MTC","cost_20constraint","China",2100,1708.80216180157
"243","MTC","cost_20constraint","Colombia",1975,6.369132129
"244","MTC","cost_20constraint","Colombia",1990,15.57370341
"245","MTC","cost_20constraint","Colombia",2005,17.907555673
"246","MTC","cost_20constraint","Colombia",2010,21.705283382
"247","MTC","cost_20constraint","Colombia",2015,26.053131339
"248","MTC","cost_20constraint","Colombia",2020,28.3520146421
"249","MTC","cost_20constraint","Colombia",2025,31.76326493476
"250","MTC","cost_20constraint","Colombia",2030,34.71925281907
"251","MTC","cost_20constraint","Colombia",2035,37.47216832439
"252","MTC","cost_20constraint","Colombia",2040,41.14517795617
"253","MTC","cost_20constraint","Colombia",2045,44.58799798042
"254","MTC","cost_20constraint","Colombia",2050,47.85206314892
"255","MTC","cost_20constraint","Colombia",2055,51.76463249725
"256","MTC","cost_20constraint","Colombia",2060,56.131650030052
"257","MTC","cost_20constraint","Colombia",2065,60.0973467458536
"258","MTC","cost_20constraint","Colombia",2070,63.4508589059605
"259","MTC","cost_20constraint","Colombia",2075,66.1254765169951
"260","MTC","cost_20constraint","Colombia",2080,68.4616431098532
"261","MTC","cost_20constraint","Colombia",2085,70.3825065956404
"262","MTC","cost_20constraint","Colombia",2090,72.0301229865165
"263","MTC","cost_20constraint","Colombia",2095,73.3484184784054
"264","MTC","cost_20constraint","Colombia",2100,74.4529522001088
"265","MTC","cost_20constraint","EU-12",1975,136.100809179
"266","MTC","cost_20constraint","EU-12",1990,280.6282376015
"267","MTC","cost_20constraint","EU-12",2005,210.0585213476
"268","MTC","cost_20constraint","EU-12",2010,205.6855990827
"269","MTC","cost_20constraint","EU-12",2015,188.3831329395
"270","MTC","cost_20constraint","EU-12",2020,198.21188176548
"271","MTC","cost_20constraint","EU-12",2025,197.095709586049
"272","MTC","cost_20constraint","EU-12",2030,199.133640478957
"273","MTC","cost_20constraint","EU-12",2035,200.410089355455
"274","MTC","cost_20constraint","EU-12",2040,200.754728662447
"275","MTC","cost_20constraint","EU-12",2045,201.034431959159
"276","MTC","cost_20constraint","EU-12",2050,202.194602833406
"277","MTC","cost_20constraint","EU-12",2055,202.948555031238
