Country Code,REF2020,REF2050,Efficiency2050,Equity2050,Country,Income,Pop2020,Pop2050
SRB,14.2695335,11.8606115,6.7907340000000005,5.6239385,Serbia,Upper_Middle,9.731764648882027,9.668840845910973
RUS,8.159710022260274,7.766599376712329,6.7778145719178085,6.5900500684931504,Russia,High,141.9685597481434,136.714718806135
RWA,23.901072,29.846621,20.024499,22.265346,Rwanda,Low,13.749409162464469,22.95334724954101
SAU,17.45951445714286,15.787366371428572,14.3769348,14.344016828571428,Saudi Arabia,High,34.746409697069865,54.41424783416312
SLB,1.993436,1.904847,1.851302,1.844203,Solomon Islands,Lower_Middle,0.6638265858579134,0.9712833520753968
SDN,17.24375577419355,17.056798161290324,15.776841870967742,15.94178770967742,Sudan,Low,54.18525382124855,81.62512733357714
SWE,3.793319529411765,3.2478248823529414,2.620336764705882,2.4209769411764706,Sweden,High,10.185543144583889,12.51171590136336
SGP,7.24328,6.812888,5.279917,5.218544,Singapore,High,5.719274785584302,6.529551349445992
SVN,10.470651,7.981915,5.7587,4.614477,Slovenia,High,2.0940622330633167,2.199054459675883
SVK,12.26042,9.543754,6.351448,5.020263,Slovakia,High,5.606795833884531,5.529569697078472
SLE,14.565913,15.178569,13.591172,13.768271,Sierra Leone,Low,7.323422255075713,11.27903233754006
SEN,20.433297333333332,20.717711333333337,19.963333666666667,20.047326333333334,Senegal,Lower_Middle,15.65129127513526,24.25197378888383
SOM,6.5754162,6.3518542,5.7864377,5.9061346,Somalia,Low,11.234552046434157,16.162462682953073
SUR,2.867433,3.090184,3.012677,3.0232345,Suriname,Upper_Middle,0.5719160926647476,0.6593916360583385
STP,9.6088730000000009,10.120084,9.42473,9.5697120000000009,Sao Tome and Principe,Lower_Middle,0.18480031156427748,0.21123231403293524
SLV,9.447142,8.53476,5.187019,5.204659,El Salvador,Upper_Middle,6.38313338871084,6.08051087569562
TCD,33.1747017,32.9813948,32.33594415,32.38667995,Chad,Low,14.53216054181212,25.238420237456616
THA,11.58550075,11.02001075,7.860990375,7.992376625,Thailand,Upper_Middle,72.84574372612545,73.5516714355006
TJK,12.1578645,12.833105500000002,9.567363,10.665504,Tajikistan,Lower_Middle,7.5437654246880115,8.044770823941834
TLS,3.633763,3.436848,3.308921,3.280527,Timor Leste,Lower_Middle,1.376648498365861,2.0591611164560857
TKM,13.260337230769233,12.85395346153846,11.411408615384616,11.40600923076923,Turkmenistan,Upper_Middle,5.594621721397036,6.3739258035861575
TUN,15.524792666666666,15.093179333333334,14.338674,14.342378666666669,Tunisia,Lower_Middle,11.474561856864176,12.742657987393574
TON,1.420051,1.406592,1.396735,1.396375,Tonga,Upper_Middle,0.1083659355172634,0.10619335021062085
TUR,14.867579266666668,14.030185266666669,8.267592,7.804685133333333,Turkey,Upper_Middle,81.01219184660509,95.87990057957356
TTO,3.885524,3.89691,3.830378,3.833978,Trinidad and Tobago,High,1.3715200922919757,1.2465509375150032
