ISO_A3,year,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus
GAB,2015,0.002272906,0.000459517,0.000405173,0.002114926,0.003731284,0.004870378,0.009807068,0.014946579,0.030126658,0.068706394,0.137083078,0.276483927,0.560362219,0.98521676,1.687454877,2.506292422,3.933445398,5.825945534,9.259670243,12.50774034
GBR,2015,0.000641369,0.000262136,0.000305331,0.000657022,0.000858645,0.001019565,0.001793735,0.004304728,0.013374477,0.03094994,0.076571575,0.19078821,0.465095674,0.888709698,1.693923263,2.870598405,4.890257577,7.975211544,11.20020624,17.25515394
GEO,2015,0.001320914,0.00099863,0.0017029,0.005174312,0.008598493,0.009394944,0.014939162,0.024741552,0.047005729,0.082499364,0.165397684,0.327308757,0.60121787,1.020172259,1.907650942,2.996923495,4.974488974,7.473676204,9.432086077,13.28488011
GHA,2015,0.000443389,6.69E-05,0.000119122,0.006137552,0.005950005,0.011155453,0.019268073,0.023266685,0.038724686,0.07350467,0.149380445,0.208731268,0.434670792,0.821907862,1.280168662,2.036131477,2.558801218,3.965059245,5.828592661,7.658070431
GIN,2015,0.00269877,0.000280939,0.000272439,0.009921968,0.008600406,0.014847403,0.027022198,0.028319427,0.049234622,0.115839889,0.245267924,0.355861421,0.740105766,1.490708863,2.377127711,3.216861657,3.891577256,6.541554444,9.839353672,12.82559621
GMB,2015,0.001315313,0.000142807,0.000203125,0.006852778,0.00597854,0.010336124,0.016751994,0.019458871,0.033951184,0.079394276,0.172102654,0.264474521,0.55660224,1.151209267,1.809651223,2.578292223,3.283458791,5.276890083,7.774912824,9.933491612
GNB,2015,0.001636081,0.000273741,0.000300555,0.011194137,0.009650551,0.01832993,0.035684507,0.038713026,0.069435864,0.155346342,0.300533034,0.426262987,0.840396703,1.689014049,2.652314949,3.476052419,3.924650389,6.796219875,10.02145627,14.11480151
GNQ,2015,0.004163462,0.000483317,0.000393812,0.002135629,0.003824705,0.005694592,0.009078916,0.012591341,0.021630642,0.053940248,0.116575172,0.237995243,0.513800284,0.967334007,1.752342158,2.690592033,4.231546305,6.622438975,11.04793049,15.09514625
GRC,2015,0.00043763,0.000137767,0.00026112,0.001238332,0.001886137,0.001900985,0.003138728,0.00485145,0.01035172,0.022557866,0.048086444,0.085602897,0.184956036,0.365348138,0.709518722,1.426737642,3.20244893,6.624049478,12.8308677,22.13858028
GRD,2015,0.002048696,0.00073329,0.000783459,0.002746546,0.003486099,0.006935476,0.008182673,0.014583859,0.02560911,0.045674045,0.11210133,0.22381112,0.427439149,0.666934931,0.996972406,1.440369173,2.136682008,3.37597295,5.79845823,9.934327595
GTM,2015,0.003066697,0.000594045,0.000599437,0.003586074,0.005550303,0.00699019,0.010937087,0.013749135,0.017861588,0.02851465,0.050030808,0.081012654,0.18831725,0.360173842,0.68760282,1.21234569,2.664161778,5.184500905,10.56544366,19.53385345
GUY,2015,0.001658604,0.000492342,0.000440734,0.002857432,0.004658605,0.006675192,0.008720906,0.012643514,0.0262467,0.050529528,0.10451537,0.195999097,0.360508663,0.644771808,1.08745631,1.494903381,2.457901855,2.991285287,4.009885364,6.095687592
HND,2015,0.01044049,0.003461541,0.002016548,0.004770693,0.007513021,0.009165386,0.012865033,0.017939097,0.031376278,0.055910054,0.114523364,0.222039221,0.525511326,0.967014613,1.916396242,2.586127169,4.084143332,7.142315786,10.27923542,15.2180473
HRV,2015,0.000860245,0.000251893,0.000278094,0.001021994,0.001439767,0.001870528,0.002608776,0.004638939,0.009172798,0.025421197,0.057327572,0.143609239,0.312838481,0.59775044,1.049782197,2.088613797,3.902729986,6.283476267,9.619812121,11.21976381
HTI,2015,0.013565118,0.000994583,0.000543073,0.00283839,0.004059149,0.006437459,0.008849968,0.015400204,0.033750928,0.073070513,0.161541713,0.332940703,0.744515806,1.327486877,2.327724627,3.705802999,5.626371152,7.963451389,11.20629163,16.65260408
HUN,2015,0.001610407,0.000429395,0.001038645,0.001867512,0.002355579,0.003894609,0.005987779,0.015084226,0.035274877,0.105303712,0.261274833,0.509741657,0.77528174,1.077833639,1.57182938,2.383251454,3.655214328,5.006818526,6.485978797,9.478976517
IDN,2015,0.002252542,0.000550809,0.000895913,0.005742843,0.012101138,0.012787801,0.014436467,0.02196187,0.03612612,0.078833316,0.163927149,0.311760202,0.769130633,1.409166782,2.565677466,3.848840533,6.226937608,9.811330336,13.22402974,17.3680842
IND,2015,0.002497336,0.000591479,0.00035329,0.00214988,0.00451761,0.007389634,0.014316009,0.031244135,0.071145579,0.167337179,0.452821073,1.006960444,2.066153269,3.748419028,7.391699021,11.12643692,21.13522296,32.12397864,43.31628962,59.76895886
IRL,2015,0.000138948,0.000147148,0.00018735,0.000394892,0.00056913,0.000824393,0.001502216,0.002094094,0.005009428,0.011526214,0.0384637,0.107217087,0.274086263,0.619079558,1.304526172,2.710843893,5.033740474,9.090608293,13.77862357,21.52927147
IRN,2015,0.003400119,0.002553734,0.002349811,0.006894276,0.007323429,0.008758549,0.01253972,0.016165661,0.026074961,0.046101021,0.098300644,0.177282966,0.323395426,0.534841244,0.978277513,1.920816288,3.587188965,6.071913551,9.02289201,12.47911694
IRQ,2015,0.000685645,0.001145624,0.000844949,0.001886158,0.002734966,0.003448954,0.005124813,0.009787878,0.01199853,0.027361294,0.054618727,0.07932507,0.261227865,0.432610613,0.685136285,0.973010724,1.516407271,2.612200372,4.025601808,6.645844979
ISL,2015,0.001127978,0.000491627,0.000780973,0.001313255,0.001708467,0.001830301,0.002823752,0.003174721,0.007618049,0.016788085,0.038148518,0.080221142,0.155556197,0.413842054,0.870981454,1.597163124,3.402325433,5.760014188,8.408366801,14.8582412
ISR,2015,0.00037106,0.00039328,0.000414005,0.000958667,0.000972213,0.001077552,0.00141015,0.002506105,0.007736563,0.017661061,0.050201936,0.09680569,0.179258844,0.359753393,0.663954543,1.332011196,2.199408291,4.105249105,6.336957517,12.97403355
ITA,2015,0.00068228,0.000339229,0.000459617,0.001019269,0.00115364,0.001471987,0.001956751,0.003161196,0.005902651,0.011607742,0.025345789,0.055184552,0.121338783,0.258766675,0.533306732,1.158811262,2.569157698,5.373310281,9.452916307,16.51864495
JAM,2015,0.003086387,0.000616363,0.000356809,0.002320049,0.005623899,0.006808154,0.007018441,0.015189872,0.025992529,0.043597947,0.097401276,0.208326593,0.387173231,0.661174341,1.243035913,1.950770587,2.63944085,3.578803896,4.346594898,6.007307284
JOR,2015,0.000493998,0.000170913,0.000224145,0.001493666,0.002180474,0.002313596,0.004359191,0.004636771,0.009589875,0.021083714,0.05050831,0.100104604,0.241207994,0.448820995,0.731422553,1.294386921,2.405447425,4.512220709,6.803853472,8.716289428
JPN,2015,0.000157969,0.000120543,0.000152534,0.000528003,0.000881927,0.001178427,0.001599327,0.002108412,0.003118273,0.006934676,0.013322213,0.028118061,0.078051283,0.156195949,0.324611812,0.645487284,1.401364139,2.656541723,3.769923785,7.212000472
KAZ,2015,0.000946774,0.000463266,0.001044296,0.003558336,0.007492286,0.011972267,0.021907669,0.0372712,0.05551765,0.092104503,0.173223169,0.370107268,0.724492038,1.559517041,2.457191967,3.315633464,4.480172042,5.92558783,6.320167016,9.737008297
KEN,2015,0.002543356,0.000479237,0.000362635,0.00228325,0.004893496,0.005472337,0.009657221,0.01691813,0.032114351,0.070541513,0.134366655,0.30750801,0.58396025,0.909843361,1.783423167,2.670315303,4.53374604,5.744918469,8.811993501,9.922698337
KGZ,2015,0.000397609,0.000308351,0.000598306,0.002732823,0.007051294,0.012367588,0.02187553,0.036978326,0.058587889,0.088610532,0.159973284,0.32675704,0.643611548,1.296644079,2.146816027,4.112865709,7.167399097,9.003402437,10.49427941,15.46367522
KHM,2015,0.001092597,0.000229892,0.000330522,0.002230661,0.005173922,0.006504884,0.007906798,0.013478002,0.025619371,0.06234338,0.140110965,0.267039998,0.650489005,1.210501514,2.230076339,3.580800923,6.167036909,10.22240587,14.29307759,18.97024783
KOR,2015,0.000467869,0.000131369,0.000134457,0.000381025,0.000389312,0.000593603,0.001095612,0.001775008,0.003101733,0.008061321,0.018882413,0.03958916,0.092446759,0.207594019,0.508972483,1.209493631,2.592348201,5.494235899,10.17327879,16.17738341
KWT,2015,0.000607603,0.00056309,0.000163494,0.002015351,0.00206014,0.002868171,0.004104876,0.004491241,0.006934192,0.014657274,0.028566386,0.059301115,0.123460855,0.22364042,0.414106794,0.667662988,1.261238531,1.723022903,1.853513988,3.3848623
LAO,2015,0.005818271,0.00115392,0.001266169,0.005867281,0.012206133,0.016193063,0.020616211,0.038706538,0.063207801,0.130028754,0.260129932,0.462807102,1.038709591,1.771359834,3.265601048,4.921944429,7.602459387,12.11649922,17.27340896,23.39605913
LBN,2015,0.000686681,0.000578323,0.000556472,0.00315166,0.00401357,0.00449574,0.006723358,0.009417692,0.01608491,0.029382651,0.062124539,0.110738218,0.213174389,0.398237107,0.691646515,1.268300057,2.339597379,4.112588443,6.868882245,11.05444632
LBR,2015,0.003928474,0.000239532,0.00018829,0.003982883,0.00407753,0.007208676,0.012323401,0.014519452,0.022186248,0.055382445,0.124359939,0.190238254,0.401266589,0.769546488,1.315892208,1.835897576,2.286045424,3.97042362,5.790181696,8.175507835
LBY,2015,0.004290712,0.001326982,0.001298357,0.005134758,0.008303976,0.009281157,0.01726566,0.020747917,0.036345866,0.061389843,0.115381512,0.175185532,0.418762823,0.662105037,1.150257696,1.741081612,2.996934077,4.659178583,7.080776336,11.52650511
LCA,2015,0.001304109,0.000411416,0.000523065,0.003068589,0.005376039,0.007519884,0.010160931,0.012089436,0.030150588,0.054397071,0.116449573,0.210089611,0.403563658,0.559227505,1.038348664,1.684333111,2.631575832,3.77973907,7.014850452,13.32073659
LKA,2015,0.000998681,0.000364527,0.000473307,0.001808996,0.003490906,0.003582881,0.005319773,0.008165295,0.01585501,0.03942464,0.0816541,0.152979988,0.390209526,0.71353026,1.410330267,2.159952695,3.744768991,6.872626064,11.06032879,16.0350834
LSO,2015,0.004744681,0.001713368,0.001336773,0.00955044,0.01304866,0.022381683,0.036152833,0.062860404,0.132519194,0.271139989,0.55821726,1.080869445,1.751305531,3.420614233,6.999491653,8.531690441,10.92236926,14.07658065,18.83029346,27.8384237
LTU,2015,0.00019098,6.46E-05,0.000254836,0.000702543,0.000901644,0.001745008,0.004618678,0.006802289,0.014632087,0.028348359,0.055168975,0.120606904,0.293304392,0.464853482,0.678823518,1.014594584,1.512229056,2.360332403,3.168905232,4.962722358
LUX,2015,0.00050651,0.000228598,0.000408997,0.001423642,0.001493122,0.001604191,0.001928627,0.004040006,0.007252475,0.016924872,0.044811751,0.092647203,0.231653043,0.504107882,0.939577599,1.74056496,3.258761573,5.629065202,9.845107981,18.07460419
LVA,2015,0.000168744,0.000151255,0.000224359,0.00082346,0.001098998,0.001536223,0.003939712,0.006594119,0.011088571,0.020729303,0.049938163,0.107653687,0.208338008,0.342027331,0.516788435,0.752176155,1.154077955,2.001156005,2.982736731,4.483888217
MAR,2015,0.002478541,0.001984927,0.00150059,0.004331469,0.006089632,0.006902706,0.011199763,0.014668606,0.023410459,0.039735264,0.089313164,0.159239518,0.312785229,0.574541688,0.899318037,1.403447013,2.492951036,3.956234997,6.005747385,9.269447549
MDA,2015,0.000276539,6.34E-05,0.000326808,0.000862452,0.001722074,0.00252228,0.00475145,0.01006517,0.021909856,0.046161116,0.09373361,0.174437622,0.391769394,0.634966299,0.984324641,1.535316192,2.656921616,3.215370829,2.945394608,2.762540939
MDG,2015,0.012464881,0.001416575,0.000930957,0.00843076,0.018850691,0.022649227,0.03569764,0.048742127,0.067957066,0.132310912,0.263676465,0.589590116,1.155699346,1.93761093,3.510297125,5.003099625,8.018011463,10.02775769,16.44724545,20.14901431
MDV,2015,0.007816385,0.002498733,0.002123957,0.003882666,0.006496111,0.007813481,0.011474496,0.017332045,0.020570135,0.050230663,0.123009568,0.243935938,0.705563,1.375251134,2.512431647,4.053027075,6.465366205,10.63660228,20.38564104,33.38668371
MEX,2015,0.003644009,0.000864711,0.000801469,0.002441967,0.003691553,0.005012749,0.006779909,0.010600501,0.017580493,0.032505997,0.069042665,0.13996919,0.29823702,0.616361378,1.218749795,2.455947346,4.854279367,8.980292875,15.15117433,23.36219311
MKD,2015,0.002880002,0.001399237,0.001413745,0.004197932,0.003846121,0.004262432,0.004159036,0.008761916,0.01401739,0.044076513,0.084642178,0.177249744,0.367861467,0.614400129,1.138200144,1.942326628,3.103162073,4.535449332,5.988763664,6.550769766
