ISO_A3,year,AGE,COPDmortality,IHDmortality,LCmortality,LRImortality,Strokemortality,Diabetesmortality
BRA,2020,0-4,0.00126740810460055,0,0,0.0590872757956168,0.0028839584116071,0
BRB,2020,0-4,2.8314677909893e-4,0,0,0.0328984426711653,0.00120825962440409,0
BRN,2020,0-4,3.3827631212431e-4,0,0,0.0284505473625664,7.5040325092345e-4,0
BTN,2020,0-4,0.00341174779876132,0,0,0.115006673328452,0.0026663002449248,0
BWA,2020,0-4,0.00138255466898458,0,0,0.176874959662649,0.00261732600919249,0
CAF,2020,0-4,0.00720975463496617,0,0,1.09970250107574,0.0276780533533129,0
CAN,2020,0-4,2.1015207814372e-4,0,0,0.00581372276795256,8.8873269267503e-4,0
CHE,2020,0-4,1.1070750861008e-4,0,0,0.00384344001335585,1.2793663275364e-4,0
CHL,2020,0-4,0.00214851457841891,0,0,0.00845591993566483,6.3883200312568e-4,0
CHN,2020,0-4,3.7881513679763e-4,0,0,0.0351853315518959,0.00230692111026667,0
CIV,2020,0-4,0.0016037807001304,0,0,0.718069176052038,0.0289130804083013,0
CMR,2020,0-4,0.00151901660369855,0,0,0.690386860946882,0.0189305050272807,0
COD,2020,0-4,0.0082638996801141,0,0,0.89395293069854,0.0231929039010397,0
COG,2020,0-4,0.00463316481946219,0,0,0.376620744782538,0.00862229955954839,0
COL,2020,0-4,0.00178596343384464,0,0,0.055495203976071,0.00472262376023752,0
COM,2020,0-4,0.00321974433754767,0,0,0.366657555454212,0.00319122953101216,0
CPV,2020,0-4,1.6787282166691e-4,0,0,0.0742572143576146,0.00347507476276682,0
CRI,2020,0-4,0.00149102989706415,0,0,0.0139523807674468,5.729105917241e-4,0
CUB,2020,0-4,6.3131067193613e-4,0,0,0.0259735549324872,5.0523842054255e-4,0
CYP,2020,0-4,9.28697901836999e-5,0,0,0.00176528809243313,8.8144978758367e-4,0
CZE,2020,0-4,3.9775953667221e-4,0,0,0.00735619745804653,2.4336184163977e-4,0
DEU,2020,0-4,4.7106988614057e-4,0,0,0.00520802921052618,5.4123717670547e-4,0
DJI,2020,0-4,0.00260781958354604,0,0,0.420018297950448,0.00329299256799133,0
DMA,2020,0-4,0.00167375249242255,0,0,0.0977277212786232,0.00311350816951081,0
DNK,2020,0-4,4.9380499750565e-4,0,0,0.00349580933298413,1.2575193330193e-4,0
DZA,2020,0-4,0.00286617681870025,0,0,0.0548820432893367,0.0087886580517543,0
ECU,2020,0-4,0.00233905128549078,0,0,0.166246752163734,0.00444999268699308,0
EGY,2020,0-4,0.0090161522921994,0,0,0.222229180711506,0.0104215457159365,0
ERI,2020,0-4,0.00453029617692917,0,0,0.722006492151987,0.00543602762043806,0
ESP,2020,0-4,2.4079892567346e-4,0,0,0.00346892997934584,0.00119066595772184,0
EST,2020,0-4,3.3909777385082e-4,0,0,0.0159275151139514,1.1279052795423e-4,0
ETH,2020,0-4,0.00260891198138209,0,0,0.471723790879202,0.0059964629394924,0
FIN,2020,0-4,1.6265163164201e-4,0,0,0.00104854463279927,3.531848472776e-4,0
FJI,2020,0-4,0.00237429984497142,0,0,0.255565080413956,0.0217543944947619,0
FRA,2020,0-4,1.880076857211e-4,0,0,0.00408474611151096,0.00142528442691515,0
FSM,2020,0-4,0.00185062762078365,0,0,0.122193976535816,0.0171467604772953,0
GAB,2020,0-4,0.00191776432077439,0,0,0.164335677146842,0.0037077273659465,0
GBR,2020,0-4,5.318671058943e-4,0,0,0.0088947866750268,6.4167968832817e-4,0
GEO,2020,0-4,0.00103196417314268,0,0,0.038111777043154,0.00120753783732129,0
GHA,2020,0-4,3.8120672941066e-4,0,0,0.308146435867619,0.00977826053621172,0
GIN,2020,0-4,0.00189817798184914,0,0,1.01222769121259,0.042032393610393,0
GMB,2020,0-4,0.00101294254853796,0,0,0.391191024546578,0.0131862756813095,0
GNB,2020,0-4,0.00121641681492396,0,0,0.54836666223047,0.0217386210409854,0
GNQ,2020,0-4,0.00406852960789117,0,0,0.196506013161287,0.0039181079063416,0
GRC,2020,0-4,3.4385177763836e-4,0,0,0.00924014958016439,9.7297253084247e-4,0
GRD,2020,0-4,0.00165686857262149,0,0,0.0676441230855515,0.00199334709702278,0
GTM,2020,0-4,0.00252620637525779,0,0,0.379067205081708,0.0116108831598771,0
GUY,2020,0-4,0.00155004083439613,0,0,0.0743826144028196,0.00688532194108012,0
HND,2020,0-4,0.00809448671215217,0,0,0.0229251833149045,0.01269608716203,0
HRV,2020,0-4,7.1687118328303e-4,0,0,0.00395860043018564,0.0013611461247419,0
HTI,2020,0-4,0.00991531047329148,0,0,0.428213829074942,0.0314265795699436,0
HUN,2020,0-4,0.00130071341579189,0,0,0.00972762894233489,7.7185323535213e-4,0
IDN,2020,0-4,0.00163742505357691,0,0,0.0880428245726982,0.00244340601303027,0
IND,2020,0-4,0.0018700430366739,0,0,0.237182429085338,0.00357027412544448,0
IRL,2020,0-4,1.1578959201907e-4,0,0,0.00246085178136701,2.7358368045734e-4,0
IRN,2020,0-4,0.00252935713576344,0,0,0.032530470051552,0.00389249774342186,0
IRQ,2020,0-4,4.5709633794579e-4,0,0,0.0456785325604111,0.00467031861446745,0
ISL,2020,0-4,9.1312498987765e-4,0,0,0.00937451772468991,0.00163724357497717,0
ISR,2020,0-4,3.164920131188e-4,0,0,0.00533305004014613,6.9615792814028e-4,0
ITA,2020,0-4,5.5435237285787e-4,0,0,0.00364153286105224,0.00155222481156627,0
JAM,2020,0-4,0.00263710249502242,0,0,0.0219875128742739,0.00350534339733951,0
JOR,2020,0-4,3.747570446381e-4,0,0,0.0357470231666535,0.00125272516080735,0
JPN,2020,0-4,1.3602894576046e-4,0,0,0.0124553904343496,0.0011993691846047,0
KAZ,2020,0-4,7.3036866108178e-4,0,0,0.0810810953190902,0.00160449413170463,0
KEN,2020,0-4,0.00217613376248637,0,0,0.389499247868818,0.00229814716585284,0
KGZ,2020,0-4,3.3134094895009e-4,0,0,0.217109114299073,5.8511894769308e-4,0
KHM,2020,0-4,7.4463589635877e-4,0,0,0.224498789256562,0.00409207653155749,0
KOR,2020,0-4,3.4686850643357e-4,0,0,0.015364050882231,0.00255690733838749,0
KWT,2020,0-4,4.4051223818246e-4,0,0,0.0198503912113489,0.00198545227266632,0
LAO,2020,0-4,0.00494107590162373,0,0,0.442097413187447,0.0153449948959612,0
LBN,2020,0-4,4.3369314140584e-4,0,0,0.00545478549696772,3.7852334763522e-4,0
LBR,2020,0-4,0.00279205727057283,0,0,0.492149843833812,0.022839711226673,0
LBY,2020,0-4,0.00313690743064368,0,0,0.0456320809407812,0.0422246241315813,0
LCA,2020,0-4,0.00109164210986249,0,0,0.0321066325006518,0.00125169833726646,0
LKA,2020,0-4,6.3181840851744e-4,0,0,0.0247310819571829,0.00129029334915667,0
LSO,2020,0-4,0.00412102435507613,0,0,0.51900718610641,0.00949473783091657,0
LTU,2020,0-4,1.4323514675795e-4,0,0,0.0155876079691788,9.06496122284824e-5,0
LUX,2020,0-4,4.0520833017712e-4,0,0,0.00396351881193008,7.4358264114809e-4,0
LVA,2020,0-4,1.2655785371044e-4,0,0,0.0141400336332916,8.44952897989619e-5,0
MAR,2020,0-4,0.00150991592387978,0,0,0.0307910726226016,0.00606712328426413,0
MDA,2020,0-4,1.8435952968581e-4,0,0,0.0556648025907769,8.54915849885059e-5,0
MDG,2020,0-4,0.0120434143880731,0,0,0.857996811068967,0.0090558686171695,0
MDV,2020,0-4,0.00496898763338437,0,0,0.0175791180312257,0.00123696251924875,0
MEX,2020,0-4,0.00302287102267931,0,0,0.0575420969840801,0.00689501186132023,0
MKD,2020,0-4,0.0021978964836848,0,0,0.019748194205808398,0.00400502303261926,0
MLI,2020,0-4,3.2882878410224e-4,0,0,0.84031957763243,0.0559750201536096,0
MLT,2020,0-4,3.0958868288458e-4,0,0,0.00946216595437012,0.00136199006206096,0
MMR,2020,0-4,0.00390235584586939,0,0,0.246073553907872,0.0145950210055717,0
MNE,2020,0-4,6.34687403653969e-5,0,0,0.010246203636182,7.9308607661066e-4,0
MNG,2020,0-4,4.3640021994659e-4,0,0,0.285775208116657,0.0063413448445203,0
MOZ,2020,0-4,0.00384827776506788,0,0,0.29753881098579,0.00502860432243832,0
MRT,2020,0-4,7.7484995931816e-4,0,0,0.326242472504403,0.00919193718487283,0
MUS,2020,0-4,0.00114072048585238,0,0,0.0371311224565787,0.00106891961714506,0
MWI,2020,0-4,0.00381557801654581,0,0,0.567964074504837,0.00772341595972177,0
MYS,2020,0-4,7.6424118966291e-4,0,0,0.0277325199482111,0.00243007070966545,0
NAM,2020,0-4,0.00217988125307025,0,0,0.291308536687104,0.00442118235291794,0
NER,2020,0-4,0.00250094106908452,0,0,1.79913458151024,0.0511458769990844,0
NGA,2020,0-4,0.00256404619626268,0,0,1.7754026940545,0.0145071233126851,0
NIC,2020,0-4,6.2076161566044e-4,0,0,0.0730332181561358,0.00161134922422986,0
NLD,2020,0-4,2.5329267262511e-4,0,0,0.00337944979142604,4.8656947539316e-4,0
